framework,control_id,control_ref,control_family,rule_id,name,domain,severity,evidence_mode,evidence_type,path
CIS AWS Foundations Benchmark v2.0,1.8,CIS AWS Foundations Benchmark v2.0 1.8,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,aws-iam-password-policy,IAM Password Policy Requirements,aws,medium,cel,cloud_configuration,policies/aws/aws-iam-password-policy.yaml
CIS AWS Foundations Benchmark v2.0,1.8,CIS AWS Foundations Benchmark v2.0 1.8,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,aws-password-policy-minimum-length,IAM Password Policy Minimum Length,aws,medium,cel,cloud_configuration,policies/aws/aws-password-policy-length.yaml
CIS AWS Foundations Benchmark v2.0,1.9,CIS AWS Foundations Benchmark v2.0 1.9,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,aws-iam-password-policy,IAM Password Policy Requirements,aws,medium,cel,cloud_configuration,policies/aws/aws-iam-password-policy.yaml
CIS AWS Foundations Benchmark v2.0,1.9,CIS AWS Foundations Benchmark v2.0 1.9,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,aws-password-policy-no-reuse,IAM Password Policy Prevents Reuse,aws,medium,cel,cloud_configuration,policies/aws/aws-password-policy-reuse.yaml
CIS AWS Foundations Benchmark v2.0,2.1.1,CIS AWS Foundations Benchmark v2.0 2.1.1,CIS AWS Foundations Benchmark v2.0 2 Storage,aws-s3-bucket-encryption-enabled,S3 Bucket Encryption Enabled,aws,medium,cel,cloud_configuration,policies/aws/aws-s3-bucket-encryption.yaml
CIS AWS Foundations Benchmark v2.0,2.1.2,CIS AWS Foundations Benchmark v2.0 2.1.2,CIS AWS Foundations Benchmark v2.0 2 Storage,aws-s3-bucket-ssl-only,S3 Bucket Requires SSL,aws,medium,cel,cloud_configuration,policies/aws/aws-s3-bucket-ssl-only.yaml
CIS AWS Foundations Benchmark v2.0,2.1.2,CIS AWS Foundations Benchmark v2.0 2.1.2,CIS AWS Foundations Benchmark v2.0 2 Storage,aws-s3-https-only,S3 Buckets Enforce HTTPS Only,aws,medium,cel,cloud_configuration,policies/aws/aws-s3-https-only.yaml
CIS AWS Foundations Benchmark v2.0,2.1.5,CIS AWS Foundations Benchmark v2.0 2.1.5,CIS AWS Foundations Benchmark v2.0 2 Storage,aws-s3-bucket-no-public-access,S3 Bucket Public Access,aws,critical,cel,cloud_configuration,policies/aws/aws-s3-public.yaml
CIS AWS Foundations Benchmark v2.0,2.1.5,CIS AWS Foundations Benchmark v2.0 2.1.5,CIS AWS Foundations Benchmark v2.0 2 Storage,aws-s3-bucket-policy-public,S3 Bucket Policy Allows Public Access,aws,critical,cel,cloud_configuration,policies/aws/aws-s3-bucket-policy-public.yaml
CIS AWS Foundations Benchmark v2.0,2.2.1,CIS AWS Foundations Benchmark v2.0 2.2.1,CIS AWS Foundations Benchmark v2.0 2 Storage,aws-ebs-encryption-default,EBS Encryption by Default,aws,medium,cel,cloud_configuration,policies/aws/aws-ebs-encryption-default.yaml
CIS AWS Foundations Benchmark v2.0,2.2.1,CIS AWS Foundations Benchmark v2.0 2.2.1,CIS AWS Foundations Benchmark v2.0 2 Storage,aws-ec2-ebs-volume-encrypted,EBS Volume Encrypted,aws,medium,cel,cloud_configuration,policies/aws/aws-ec2-ebs-volume-encrypted.yaml
CIS AWS Foundations Benchmark v2.0,2.3.1,CIS AWS Foundations Benchmark v2.0 2.3.1,CIS AWS Foundations Benchmark v2.0 2 Storage,aws-rds-encryption-enabled,RDS Encryption Enabled,aws,high,cel,cloud_configuration,policies/aws/aws-rds-encryption.yaml
CIS AWS Foundations Benchmark v2.0,2.3.1,CIS AWS Foundations Benchmark v2.0 2.3.1,CIS AWS Foundations Benchmark v2.0 2 Storage,aws-redshift-public,Redshift Cluster Publicly Accessible,aws,critical,cel,cloud_configuration,policies/aws/aws-redshift-public.yaml
