framework,control_id,control_ref,control_family,direct_finding_count,source_backed_finding_count,source_matched_finding_count,source_capability_refs,review_area_refs,outbound_relationship_refs,inbound_relationship_refs,enrichment_status,sample_direct_finding_ids,sample_source_backed_finding_ids
ccpa,1798.100,ccpa 1798.100,CCPA 1798 Consumer Privacy Rights,1,0,0,,,,,direct_control_only,compliance-data-inventory-maintained,
ccpa,1798.105,ccpa 1798.105,CCPA 1798 Consumer Privacy Rights,1,0,0,,,,,direct_control_only,ai-data-retention-reviewed,
ccpa,1798.106,ccpa 1798.106,CCPA 1798 Consumer Privacy Rights,0,0,0,,,,,framework_catalog_only,,
ccpa,1798.110,ccpa 1798.110,CCPA 1798 Consumer Privacy Rights,0,0,0,,,,,framework_catalog_only,,
ccpa,1798.115,ccpa 1798.115,CCPA 1798 Consumer Privacy Rights,0,0,0,,,,,framework_catalog_only,,
ccpa,1798.120,ccpa 1798.120,CCPA 1798 Consumer Privacy Rights,0,0,0,,,,,framework_catalog_only,,
ccpa,1798.121,ccpa 1798.121,CCPA 1798 Consumer Privacy Rights,0,0,0,,,,,framework_catalog_only,,
ccpa,1798.125,ccpa 1798.125,CCPA 1798 Consumer Privacy Rights,0,0,0,,,,,framework_catalog_only,,
ccpa,1798.130,ccpa 1798.130,CCPA 1798 Consumer Privacy Rights,1,0,0,,,,,direct_control_only,compliance-data-inventory-maintained,
ccpa,1798.135,ccpa 1798.135,CCPA 1798 Consumer Privacy Rights,0,0,0,,,,,framework_catalog_only,,
ccpa,1798.150,ccpa 1798.150,CCPA 1798 Consumer Privacy Rights,1,0,0,,,,,direct_control_only,compliance-ir-gdpr-addendum,
cerebroaigovernance,AI-1,cerebroaigovernance AI-1,Cerebro AI Governance AI AI Governance Controls,0,0,0,,,,,framework_catalog_only,,
cerebroaigovernance,AI-2,cerebroaigovernance AI-2,Cerebro AI Governance AI AI Governance Controls,0,0,0,,,,,framework_catalog_only,,
cerebroaigovernance,AI-3,cerebroaigovernance AI-3,Cerebro AI Governance AI AI Governance Controls,1,0,0,,,,,direct_control_only,ml-model-untrusted-source,
cerebroaigovernance,AI-4,cerebroaigovernance AI-4,Cerebro AI Governance AI AI Governance Controls,1,0,0,,,,,direct_control_only,aws-bedrock-model-no-guardrails,
cerebroaigovernance,AI-5,cerebroaigovernance AI-5,Cerebro AI Governance AI AI Governance Controls,1,0,0,,,,,direct_control_only,aws-bedrock-model-no-guardrails,
cerebrofinancialcontrols,FIN-1,cerebrofinancialcontrols FIN-1,Cerebro Financial Controls FIN Financial Controls,1,0,0,,,,,direct_control_only,same-user-approve-execute,
cerebrofinancialcontrols,FIN-2,cerebrofinancialcontrols FIN-2,Cerebro Financial Controls FIN Financial Controls,1,0,0,,,,,direct_control_only,contract-billing-mismatch,
cerebrofinancialcontrols,FIN-3,cerebrofinancialcontrols FIN-3,Cerebro Financial Controls FIN Financial Controls,2,0,0,,,,,direct_control_only,hubspot-excessive-discount; stripe-large-refund,
cerebrooperationalresilience,OPS-1,cerebrooperationalresilience OPS-1,Cerebro Operational Resilience OPS Operational Resilience Controls,0,0,0,,,,,framework_catalog_only,,
cerebrooperationalresilience,OPS-2,cerebrooperationalresilience OPS-2,Cerebro Operational Resilience OPS Operational Resilience Controls,7,0,0,,,,,direct_control_only,k8s-deployment-multiple-replicas; k8s-pod-liveness-probe-required; k8s-pod-readiness-probe-required; k8s-pod-resource-limits; resolution-time-breach; uptime-breach-enterprise; zendesk-sla-breach,
cerebrooperationalresilience,OPS-3,cerebrooperationalresilience OPS-3,Cerebro Operational Resilience OPS Operational Resilience Controls,0,0,0,,,,,framework_catalog_only,,
cerebroorganizationalresilience,ORG-1,cerebroorganizationalresilience ORG-1,Cerebro Organizational Resilience ORG Organizational Resilience Controls,3,0,0,,,,,direct_control_only,org-bottleneck-critical; org-bus-factor-critical; org-tenure-risk,
cerebroorganizationalresilience,ORG-2,cerebroorganizationalresilience ORG-2,Cerebro Organizational Resilience ORG Organizational Resilience Controls,4,0,0,,,,,direct_control_only,org-customer-relationship-health-low; org-customer-topology-churn-risk; org-customer-touchpoints-low; org-relationship-decay-customer,
cerebroorganizationalresilience,ORG-3,cerebroorganizationalresilience ORG-3,Cerebro Organizational Resilience ORG Organizational Resilience Controls,2,0,0,,,,,direct_control_only,org-bottleneck-critical; org-silo-shared-dependency,
cerebroorganizationalresilience,ORG-4,cerebroorganizationalresilience ORG-4,Cerebro Organizational Resilience ORG Organizational Resilience Controls,2,0,0,,,,,direct_control_only,org-bus-factor-critical; org-tenure-risk,
cerebrorevenueoperations,REV-1,cerebrorevenueoperations REV-1,Cerebro Revenue Operations REV Revenue Operations Controls,3,0,0,,,,,direct_control_only,hubspot-no-next-step; hubspot-stale-deal; sf-stale-enterprise-opp,
cerebrorevenueoperations,REV-2,cerebrorevenueoperations REV-2,Cerebro Revenue Operations REV Revenue Operations Controls,1,0,0,,,,,direct_control_only,hubspot-excessive-discount,
cerebrorevenueoperations,REV-3,cerebrorevenueoperations REV-3,Cerebro Revenue Operations REV Revenue Operations Controls,1,0,0,,,,,direct_control_only,stripe-trial-no-payment-method,
cerebrorevenueoperations,REV-4,cerebrorevenueoperations REV-4,Cerebro Revenue Operations REV Revenue Operations Controls,1,0,0,,,,,direct_control_only,stripe-payment-failure-streak,
cerebrorevenueoperations,REV-5,cerebrorevenueoperations REV-5,Cerebro Revenue Operations REV Revenue Operations Controls,6,0,0,,,,,direct_control_only,hubspot-stale-deal; org-customer-relationship-health-low; org-customer-topology-churn-risk; org-relationship-decay-customer; sf-stale-enterprise-opp; stripe-payment-failure-streak,
cerebrorevenueoperations,REV-6,cerebrorevenueoperations REV-6,Cerebro Revenue Operations REV Revenue Operations Controls,1,0,0,,,,,direct_control_only,sf-close-date-slip,
cisa,1.1,cisa 1.1,CISA CISA CISA Requirements,0,0,0,,,,,framework_catalog_only,,
cisawsfoundationsbenchmarkv20,1.10,cisawsfoundationsbenchmarkv20 1.10,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,1,0,0,,,,,direct_control_only,aws-iam-password-policy,
cisawsfoundationsbenchmarkv20,1.12,cisawsfoundationsbenchmarkv20 1.12,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,2,0,0,,,,,direct_control_only,aws-iam-user-console-inactive; aws-iam-user-unused-credentials,
cisawsfoundationsbenchmarkv20,1.13,cisawsfoundationsbenchmarkv20 1.13,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,1,0,0,,,,,direct_control_only,aws-iam-single-access-key,
cisawsfoundationsbenchmarkv20,1.14,cisawsfoundationsbenchmarkv20 1.14,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,1,0,0,,,,,direct_control_only,aws-iam-access-key-rotation,
cisawsfoundationsbenchmarkv20,1.15,cisawsfoundationsbenchmarkv20 1.15,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,2,0,0,,,,,direct_control_only,aws-iam-no-policies-attached-user; aws-iam-users-via-groups,
cisawsfoundationsbenchmarkv20,1.16,cisawsfoundationsbenchmarkv20 1.16,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,2,0,0,,,,,direct_control_only,aws-ec2-iam-instance-profile; aws-iam-policy-no-admin-star,
cisawsfoundationsbenchmarkv20,1.19,cisawsfoundationsbenchmarkv20 1.19,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,1,0,0,,,,,direct_control_only,aws-iam-expired-certificates,
cisawsfoundationsbenchmarkv20,1.20,cisawsfoundationsbenchmarkv20 1.20,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,1,0,0,,,,,direct_control_only,aws-iam-support-role,
cisawsfoundationsbenchmarkv20,1.21,cisawsfoundationsbenchmarkv20 1.21,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,1,0,0,,,,,direct_control_only,aws-iam-access-analyzer-enabled,
cisawsfoundationsbenchmarkv20,1.4,cisawsfoundationsbenchmarkv20 1.4,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,2,0,0,,,,,direct_control_only,aws-iam-root-no-access-keys; aws-iam-user-mfa-enabled,
cisawsfoundationsbenchmarkv20,1.5,cisawsfoundationsbenchmarkv20 1.5,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,1,0,0,,,,,direct_control_only,aws-iam-root-mfa-enabled,
cisawsfoundationsbenchmarkv20,1.8,cisawsfoundationsbenchmarkv20 1.8,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,2,0,0,,,,,direct_control_only,aws-iam-password-policy; aws-password-policy-minimum-length,
cisawsfoundationsbenchmarkv20,1.9,cisawsfoundationsbenchmarkv20 1.9,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,2,0,0,,,,,direct_control_only,aws-iam-password-policy; aws-password-policy-no-reuse,
cisawsfoundationsbenchmarkv20,2.1.1,cisawsfoundationsbenchmarkv20 2.1.1,CIS AWS Foundations Benchmark v2.0 2 Storage,1,0,0,,,,,direct_control_only,aws-s3-bucket-encryption-enabled,
cisawsfoundationsbenchmarkv20,2.1.2,cisawsfoundationsbenchmarkv20 2.1.2,CIS AWS Foundations Benchmark v2.0 2 Storage,2,0,0,,,,,direct_control_only,aws-s3-bucket-ssl-only; aws-s3-https-only,
cisawsfoundationsbenchmarkv20,2.1.5,cisawsfoundationsbenchmarkv20 2.1.5,CIS AWS Foundations Benchmark v2.0 2 Storage,2,0,0,,,,,direct_control_only,aws-s3-bucket-no-public-access; aws-s3-bucket-policy-public,
cisawsfoundationsbenchmarkv20,2.2.1,cisawsfoundationsbenchmarkv20 2.2.1,CIS AWS Foundations Benchmark v2.0 2 Storage,2,0,0,,,,,direct_control_only,aws-ebs-encryption-default; aws-ec2-ebs-volume-encrypted,
cisawsfoundationsbenchmarkv20,2.3.1,cisawsfoundationsbenchmarkv20 2.3.1,CIS AWS Foundations Benchmark v2.0 2 Storage,2,0,0,,,,,direct_control_only,aws-rds-encryption-enabled; aws-redshift-public,
cisawsfoundationsbenchmarkv20,2.3.2,cisawsfoundationsbenchmarkv20 2.3.2,CIS AWS Foundations Benchmark v2.0 2 Storage,1,0,0,,,,,direct_control_only,aws-redshift-no-encryption,
cisawsfoundationsbenchmarkv20,2.3.3,cisawsfoundationsbenchmarkv20 2.3.3,CIS AWS Foundations Benchmark v2.0 2 Storage,1,0,0,,,,,direct_control_only,aws-rds-no-public-access,
cisawsfoundationsbenchmarkv20,2.6,cisawsfoundationsbenchmarkv20 2.6,CIS AWS Foundations Benchmark v2.0 2 Storage,1,0,0,,,,,direct_control_only,aws-apigateway-public,
cisawsfoundationsbenchmarkv20,3.1,cisawsfoundationsbenchmarkv20 3.1,CIS AWS Foundations Benchmark v2.0 3 Logging,1,0,0,,,,,direct_control_only,aws-cloudtrail-enabled,
cisawsfoundationsbenchmarkv20,3.10,cisawsfoundationsbenchmarkv20 3.10,CIS AWS Foundations Benchmark v2.0 3 Logging,1,0,0,,,,,direct_control_only,aws-cloudtrail-s3-data-events,
cisawsfoundationsbenchmarkv20,3.11,cisawsfoundationsbenchmarkv20 3.11,CIS AWS Foundations Benchmark v2.0 3 Logging,1,0,0,,,,,direct_control_only,aws-cloudtrail-s3-data-events,
cisawsfoundationsbenchmarkv20,3.2,cisawsfoundationsbenchmarkv20 3.2,CIS AWS Foundations Benchmark v2.0 3 Logging,1,0,0,,,,,direct_control_only,aws-cloudtrail-log-integrity,
cisawsfoundationsbenchmarkv20,3.5,cisawsfoundationsbenchmarkv20 3.5,CIS AWS Foundations Benchmark v2.0 3 Logging,1,0,0,,,,,direct_control_only,aws-config-enabled-all-regions,
cisawsfoundationsbenchmarkv20,3.6,cisawsfoundationsbenchmarkv20 3.6,CIS AWS Foundations Benchmark v2.0 3 Logging,1,0,0,,,,,direct_control_only,aws-s3-bucket-logging-enabled,
cisawsfoundationsbenchmarkv20,3.7,cisawsfoundationsbenchmarkv20 3.7,CIS AWS Foundations Benchmark v2.0 3 Logging,1,0,0,,,,,direct_control_only,aws-cloudtrail-kms-encryption,
cisawsfoundationsbenchmarkv20,3.8,cisawsfoundationsbenchmarkv20 3.8,CIS AWS Foundations Benchmark v2.0 3 Logging,1,0,0,,,,,direct_control_only,aws-kms-key-rotation-enabled,
cisawsfoundationsbenchmarkv20,3.9,cisawsfoundationsbenchmarkv20 3.9,CIS AWS Foundations Benchmark v2.0 3 Logging,1,0,0,,,,,direct_control_only,aws-vpc-flow-logs-enabled,
cisawsfoundationsbenchmarkv20,4.1,cisawsfoundationsbenchmarkv20 4.1,CIS AWS Foundations Benchmark v2.0 4 Monitoring,1,0,0,,,,,direct_control_only,aws-cloudwatch-alarm-missing,
cisawsfoundationsbenchmarkv20,4.15,cisawsfoundationsbenchmarkv20 4.15,CIS AWS Foundations Benchmark v2.0 4 Monitoring,1,0,0,,,,,direct_control_only,aws-guardduty-disabled,
cisawsfoundationsbenchmarkv20,4.16,cisawsfoundationsbenchmarkv20 4.16,CIS AWS Foundations Benchmark v2.0 4 Monitoring,1,0,0,,,,,direct_control_only,aws-security-hub-enabled,
cisawsfoundationsbenchmarkv20,5.1,cisawsfoundationsbenchmarkv20 5.1,CIS AWS Foundations Benchmark v2.0 5 Networking,1,0,0,,,,,direct_control_only,aws-nacl-admin-ports-restricted,
cisawsfoundationsbenchmarkv20,5.2,cisawsfoundationsbenchmarkv20 5.2,CIS AWS Foundations Benchmark v2.0 5 Networking,4,0,0,,,,,direct_control_only,aws-ec2-public-ip-ssh; aws-ec2-public-ports-restricted; aws-ecs-ssh-denied; aws-security-group-restrict-ssh,
cisawsfoundationsbenchmarkv20,5.3,cisawsfoundationsbenchmarkv20 5.3,CIS AWS Foundations Benchmark v2.0 5 Networking,3,0,0,,,,,direct_control_only,aws-ec2-public-ip-rdp; aws-ec2-public-ports-restricted; aws-security-group-restrict-rdp,
cisawsfoundationsbenchmarkv20,5.4,cisawsfoundationsbenchmarkv20 5.4,CIS AWS Foundations Benchmark v2.0 5 Networking,2,0,0,,,,,direct_control_only,aws-default-sg-no-rules; aws-ec2-sg-no-all-traffic-ingress,
cisawsfoundationsbenchmarkv20,5.6,cisawsfoundationsbenchmarkv20 5.6,CIS AWS Foundations Benchmark v2.0 5 Networking,1,0,0,,,,,direct_control_only,aws-ec2-imdsv2-required,
cisbenchmarks,1.1,cisbenchmarks 1.1,CIS Benchmarks 1 Identity and Access Management,0,0,0,,,,,framework_catalog_only,,
cisbenchmarks,4.4,cisbenchmarks 4.4,CIS Benchmarks 4 Compute Hardening,1,0,0,,,,,direct_control_only,gcp-compute-metadata-v1,
cisbenchmarks,4.8,cisbenchmarks 4.8,CIS Benchmarks 4 Compute Hardening,1,0,0,,,,,direct_control_only,gcp-compute-shielded-vm,
cisbenchmarks,5.1.1,cisbenchmarks 5.1.1,CIS Benchmarks 5 Kubernetes Access Control,1,0,0,,,,,direct_control_only,azure-aks-rbac-enabled,
ciscontrolsv8,1,ciscontrolsv8 1,CIS Controls v8 1 Inventory and Control of Enterprise Assets,6,2,2,,,,,direct_source_backed,endpoint-intune-noncompliant; endpoint-kandji-password-manager; endpoint-malware-detection; endpoint-mdm-enrolled; endpoint-password-manager; endpoint-sentinelone-active,endpoint-kandji-password-manager; endpoint-sentinelone-active
ciscontrolsv8,10,ciscontrolsv8 10,CIS Controls v8 10 Malware Defenses,7,0,0,,,,,direct_control_only,endpoint-intune-noncompliant; endpoint-kandji-password-manager; endpoint-malware-detection; endpoint-mdm-enrolled; endpoint-password-manager; endpoint-sentinelone-active; pci-antivirus-enabled,
ciscontrolsv8,10.1,ciscontrolsv8 10.1,CIS Controls v8 10 Malware Defenses,4,0,0,,,,,direct_control_only,endpoint-edr-installed; endpoint-kandji-edr-installed; sentinelone-command-control; sentinelone-malware,
ciscontrolsv8,10.2,ciscontrolsv8 10.2,CIS Controls v8 10 Malware Defenses,4,0,0,,,,,direct_control_only,endpoint-edr-installed; endpoint-kandji-edr-installed; sentinelone-command-control; sentinelone-malware,
ciscontrolsv8,10.7,ciscontrolsv8 10.7,CIS Controls v8 10 Malware Defenses,3,0,0,,,,,direct_control_only,endpoint-edr-reporting; sentinelone-command-control; sentinelone-malware,
ciscontrolsv8,11,ciscontrolsv8 11,CIS Controls v8 11 Data Recovery,15,0,0,,,,,direct_control_only,aws-dynamodb-pitr; aws-logs-retention-365; aws-rds-backup-enabled; aws-rds-deletion-protection; aws-s3-bucket-versioning-enabled; backup-encryption; backup-offsite; backup-retention; backup-rpo-compliance; backup-testing; cert-expiry-30-days; db-backup-enabled; db-multi-az; gcp-sql-backup-enabled; pci-audit-retention,
ciscontrolsv8,12,ciscontrolsv8 12,CIS Controls v8 12 Network Infrastructure Management,132,0,0,,,,,direct_control_only,aws-api-gateway-no-authorization; aws-bedrock-custom-model-public; aws-codebuild-public-trigger; aws-ec2-ami-not-public; aws-ec2-ebs-snapshot-not-public; aws-ec2-internet-facing-iam; aws-ec2-public-ip-rdp; aws-ec2-public-ip-ssh; aws-ec2-public-ports-restricted; aws-ec2-sg-no-all-traffic-ingress; aws-ecr-public-repository; aws-ecs-secrets-in-env-vars; aws-eks-public-endpoint-disabled; aws-elasticache-public; aws-elb-internet-facing-no-waf; aws-elb-target-public-subnet; aws-lambda-in-vpc; aws-lambda-not-publicly-accessible; aws-lambda-secrets-in-env-vars; aws-opensearch-public; aws-rds-no-public-access; aws-rds-public-snapshot; aws-redshift-public; aws-s3-bucket-cleartext-key; aws-s3-bucket-no-public-access; ... 107 more,
ciscontrolsv8,13,ciscontrolsv8 13,CIS Controls v8 13 Network Monitoring and Defense,128,9,9,,,,,direct_source_backed,aws-api-gateway-no-authorization; aws-bedrock-custom-model-public; aws-codebuild-public-trigger; aws-ec2-ami-not-public; aws-ec2-ebs-snapshot-not-public; aws-ec2-internet-facing-iam; aws-ec2-public-ip-rdp; aws-ec2-public-ip-ssh; aws-ec2-public-ports-restricted; aws-ec2-sg-no-all-traffic-ingress; aws-ecr-public-repository; aws-ecs-secrets-in-env-vars; aws-eks-public-endpoint-disabled; aws-elasticache-public; aws-elb-internet-facing-no-waf; aws-elb-target-public-subnet; aws-lambda-in-vpc; aws-lambda-not-publicly-accessible; aws-lambda-secrets-in-env-vars; aws-opensearch-public; aws-rds-no-public-access; aws-rds-public-snapshot; aws-redshift-public; aws-s3-bucket-cleartext-key; aws-s3-bucket-no-public-access; ... 103 more,aws-bedrock-custom-model-public; aws-ec2-public-ports-restricted; aws-ec2-sg-no-all-traffic-ingress; aws-eks-public-endpoint-disabled; aws-s3-bucket-cleartext-key; aws-s3-bucket-no-public-access; aws-s3-bucket-policy-public; aws-s3-public-write; aws-sagemaker-model-artifact-public
ciscontrolsv8,14,ciscontrolsv8 14,CIS Controls v8 14 Security Awareness and Skills Training,1,0,0,,,,,direct_control_only,compliance-security-training,
ciscontrolsv8,15,ciscontrolsv8 15,CIS Controls v8 15 Service Provider Management,0,0,0,,,,,framework_catalog_only,,
ciscontrolsv8,16,ciscontrolsv8 16,CIS Controls v8 16 Application Software Security,10,2,2,,,,,direct_source_backed,aws-ecr-immutable-tags; container-cleartext-cloud-keys; exposed-saas-api-token; github-automated-checks; github-branch-protection-admin; gitlab-runner-unprotected-tags; k8s-pod-image-pinned-by-digest; k8s-pod-image-tag-not-latest; ml-model-untrusted-source; vm-cleartext-cloud-keys,github-automated-checks; github-branch-protection-admin
ciscontrolsv8,17,ciscontrolsv8 17,CIS Controls v8 17 Incident Response Management,0,0,0,,,,,framework_catalog_only,,
ciscontrolsv8,18,ciscontrolsv8 18,CIS Controls v8 18 Penetration Testing,0,0,0,,,,,framework_catalog_only,,
ciscontrolsv8,2,ciscontrolsv8 2,CIS Controls v8 2 Inventory and Control of Software Assets,7,3,3,,,,,direct_source_backed,aws-ecr-immutable-tags; github-automated-checks; github-branch-protection-admin; gitlab-runner-unprotected-tags; k8s-pod-image-pinned-by-digest; k8s-pod-image-tag-not-latest; ml-model-untrusted-source,aws-ecr-immutable-tags; github-automated-checks; github-branch-protection-admin
ciscontrolsv8,3,ciscontrolsv8 3,CIS Controls v8 3 Data Protection,50,4,4,,,,,direct_source_backed,aws-alb-http-to-https; aws-cloudfront-http; aws-cloudwatch-log-group-encrypted; aws-dynamodb-encryption; aws-ebs-encryption-default; aws-ec2-ebs-volume-encrypted; aws-eks-secrets-encryption; aws-elb-certificate-expiry; aws-elb-https-only; aws-elb-tls-version; aws-kms-key-rotation-enabled; aws-rds-encryption-enabled; aws-redshift-no-encryption; aws-s3-bucket-encryption-enabled; aws-s3-bucket-ssl-only; aws-sagemaker-endpoint-no-encryption; aws-sagemaker-training-unencrypted; aws-sns-topic-encrypted; aws-sqs-queue-encrypted; azure-appservice-https; azure-postgresql-ssl; azure-sql-transparent-data-encryption; azure-storage-https-only; azure-storage-minimum-tls-1-2; azure-vm-disk-encryption; ... 25 more,aws-dynamodb-encryption; aws-kms-key-rotation-enabled; aws-s3-bucket-encryption-enabled; aws-s3-bucket-ssl-only
ciscontrolsv8,3.6,ciscontrolsv8 3.6,CIS Controls v8 3 Data Protection,4,0,0,,,,,direct_control_only,endpoint-disk-encryption; endpoint-intune-disk-encryption; endpoint-jamf-disk-encryption; endpoint-kandji-disk-encryption,
ciscontrolsv8,4,ciscontrolsv8 4,CIS Controls v8 4 Secure Configuration of Enterprise Assets and Software,75,48,48,,,,,direct_source_backed,aws-access-analyzer-unused-access-finding; aws-account-alternate-contact-security; aws-account-security-contact-configured; aws-backup-vault-encrypted; aws-backup-vault-locked; aws-cloudformation-stack-drift-detected; aws-cloudformation-stack-termination-protection; aws-cloudfront-origin-access-control-required; aws-cloudfront-response-headers-policy-security; aws-cloudfront-waf-enabled; aws-ecs-service-public-ip-disabled; aws-ecs-task-definition-no-privileged; aws-ecs-task-definition-nonroot-user; aws-ecs-task-definition-readonly-root; aws-efs-backup-enabled; aws-efs-encrypted; aws-eventbridge-rule-cross-account-target; aws-kms-key-deletion-scheduled; aws-kms-key-policy-public; aws-organizations-policy-detached; aws-organizations-scp-root-guardrail; aws-route53-resolver-query-logging; aws-secretsmanager-secret-replicated-critical; aws-ssm-document-public; azure-activity-log-alert-policy-missing; ... 50 more,aws-access-analyzer-unused-access-finding; aws-backup-vault-encrypted; aws-backup-vault-locked; aws-cloudfront-origin-access-control-required; aws-cloudfront-response-headers-policy-security; aws-cloudfront-waf-enabled; aws-ecs-service-public-ip-disabled; aws-ecs-task-definition-no-privileged; aws-ecs-task-definition-nonroot-user; aws-ecs-task-definition-readonly-root; aws-efs-backup-enabled; aws-efs-encrypted; aws-eventbridge-rule-cross-account-target; aws-organizations-policy-detached; aws-organizations-scp-root-guardrail; aws-route53-resolver-query-logging; aws-ssm-document-public; azure-activity-log-alert-policy-missing; azure-activity-log-export-missing; azure-defender-for-cloud-standard-missing; azure-entra-break-glass-account-missing; azure-keyvault-secret-expiry-missing; azure-security-contact-missing; azure-service-principal-owner-missing; azure-service-principal-secret-no-expiry; ... 23 more
ciscontrolsv8,4.3,ciscontrolsv8 4.3,CIS Controls v8 4 Secure Configuration of Enterprise Assets and Software,2,0,0,,,,,direct_control_only,endpoint-jamf-screenlock; endpoint-screenlock-configured,
ciscontrolsv8,5,ciscontrolsv8 5,CIS Controls v8 5 Account Management,211,21,21,,,,,direct_source_backed,account-lateral-dormant; admin-inactive-keys; admin-keys-unrotated; admin-keys-year-unrotated; ai-agent-lambda-data-access; ai-model-excessive-agency; ai-model-third-party-access; aws-apigateway-public; aws-bedrock-custom-model-public; aws-codebuild-privileged-mode; aws-codebuild-public-logs; aws-ec2-ami-not-public; aws-ec2-ebs-snapshot-not-public; aws-ec2-instance-profile-attached; aws-ec2-internet-facing-iam; aws-ecr-public-repository; aws-eks-public-endpoint-disabled; aws-iam-access-key-rotation; aws-iam-no-full-admin; aws-iam-no-policies-attached-user; aws-iam-password-policy; aws-iam-policy-no-admin-star; aws-iam-role-confused-deputy-prevention; aws-iam-role-cross-account-admin; aws-iam-role-trust-any-principal; ... 186 more,aws-codebuild-privileged-mode; aws-codebuild-public-logs; aws-ec2-instance-profile-attached; aws-iam-access-key-rotation; aws-iam-no-full-admin; aws-iam-password-policy; aws-iam-policy-no-admin-star; aws-iam-role-confused-deputy-prevention; aws-iam-role-trust-any-principal; aws-iam-role-wildcard-trust; aws-iam-root-no-access-keys; aws-iam-service-account-open-assume; aws-iam-user-console-inactive; aws-iam-user-mfa-enabled; aws-iam-user-multiple-access-keys; aws-iam-user-unused-credentials; aws-rds-iam-authentication; aws-secretsmanager-secret-used; github-oidc-overly-permissive; iam-unknown-account-trusted; okta-admin-dormant
ciscontrolsv8,5.3,ciscontrolsv8 5.3,CIS Controls v8 5 Account Management,1,0,0,,,,,direct_control_only,identity-stale-accounts-disabled,
ciscontrolsv8,6,ciscontrolsv8 6,CIS Controls v8 6 Access Control Management,307,24,24,,,,,direct_source_backed,account-lateral-dormant; admin-inactive-keys; admin-keys-unrotated; admin-keys-year-unrotated; ai-agent-lambda-data-access; ai-model-excessive-agency; ai-model-third-party-access; aws-access-analyzer-unused-access-finding; aws-account-alternate-contact-security; aws-account-security-contact-configured; aws-alb-no-authentication; aws-api-gateway-no-authorization; aws-apigateway-public; aws-appsync-no-authorization; aws-backup-vault-encrypted; aws-backup-vault-locked; aws-bedrock-custom-model-public; aws-cloudformation-stack-drift-detected; aws-cloudformation-stack-termination-protection; aws-cloudfront-origin-access-control-required; aws-cloudfront-response-headers-policy-security; aws-cloudfront-waf-enabled; aws-codebuild-privileged-mode; aws-codebuild-public-logs; aws-ec2-ami-not-public; ... 282 more,aws-access-analyzer-unused-access-finding; aws-codebuild-privileged-mode; aws-codebuild-public-logs; aws-ec2-instance-profile-attached; aws-iam-access-key-rotation; aws-iam-no-full-admin; aws-iam-password-policy; aws-iam-policy-no-admin-star; aws-iam-role-confused-deputy-prevention; aws-iam-role-trust-any-principal; aws-iam-role-wildcard-trust; aws-iam-root-no-access-keys; aws-iam-service-account-open-assume; aws-iam-user-console-inactive; aws-iam-user-mfa-enabled; aws-iam-user-multiple-access-keys; aws-iam-user-unused-credentials; aws-rds-iam-authentication; aws-secretsmanager-secret-replicated-critical; aws-secretsmanager-secret-used; github-oidc-overly-permissive; iam-unknown-account-trusted; okta-admin-dormant; okta-user-mfa-disabled
ciscontrolsv8,6.3,ciscontrolsv8 6.3,CIS Controls v8 6 Access Control Management,1,0,0,,,,,direct_control_only,identity-saas-mfa-enforced,
ciscontrolsv8,6.4,ciscontrolsv8 6.4,CIS Controls v8 6 Access Control Management,1,0,0,,,,,direct_control_only,identity-saas-mfa-enforced,
ciscontrolsv8,7,ciscontrolsv8 7,CIS Controls v8 7 Continuous Vulnerability Management,58,3,3,,,,,direct_source_backed,aws-ecr-immutable-tags; aws-ecr-scan-on-push; aws-lambda-runtime-supported; azure-vm-approved-extensions-only; cisa-kev-vulnerability-present; container-eol-writable; container-image-scan; container-openssl-vuln; cve-2021-45046; cve-2021-45105; cve-2023-20867; cve-2023-4863; cve-2024-21626; cve-2024-6387; dirty-pipe-privileged; gcp-container-vuln-critical; gcp-container-vuln-high; gcr-unscanned; github-automated-checks; github-branch-protection-admin; github-code-scanning-critical; github-dependabot-critical-alert; github-dependabot-high-alert; github-vuln-medium; gitlab-runner-unprotected-tags; ... 33 more,github-dependabot-critical-alert; github-dependabot-high-alert; github-vuln-medium
